rally_id,rally_name,season,surface,stage_name,stage_number,stage_length_km,driver_name,car_class,car_model,team,time_str,status
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ALİ TÜRKKAN,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,11:38:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,CEM ALAKOÇ,2,ALAKOÇ,CEM,11:41:9,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ÜMİT CAN ÖZDEMİR,2,SKODA FABIA R5,GP GARAGE MY TEAM,11:44:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,BURAK ÇUKUROVA,2,SKODA R5,BC VISION MOTORSPORT,11:53:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,KAĞAN KARAMANOĞLU,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,12:19:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ÇAĞLAYAN ÇELİK,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,12:30:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,UĞUR SOYLU,2,SKODA FABIA RALLY2 EVO,GP GARAGE MY TEAM,12:37:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,YİĞİT TİMUR,4,FIAT EGEA,FIAT MOTORSPORLARI,12:37:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,EFE ÜNVER,2,FORD FIESTA R5,CASTROL FORD TEAM TÜRKİYE,12:37:6,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,SABRİ ÜNVER,2,SKODA FABIA R5,SENA RACING,12:42:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,EROL AKBAŞ,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,12:44:7,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,YILDIRAY DEMİRCİOĞLU,4,PEUGEOT 208 R2,YILDIRAY DEMİRCİOĞLU,12:46:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ERKAN GÜRAL,2,HYUNDAI İ20 R5,GP GARAGE MY TEAM,12:48:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,GÜROL BARANLI,N,SUBARU IMPREZA SPEC-C,GMG RACING RALLY TEAM,12:54:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,AND SUNMAN,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,12:55:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ÖZCAN SÖKE,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,12:56:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,EFEHAN YAZICI,4,FORD FIESTA RALLY4,CASTROL FORD TEAM TÜRKİYE,13:01:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,LEVENT ŞAPÇILAR,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,13:06:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Tarinen -,H2,FORD ESCORT MKII,PARKUR RACİNG,13:06:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,HAKAN GÜREL,4,FORD FIESTA R2,CASTROL FORD TEAM TÜRKİYE,13:09:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,SİNAN SOYLU,N,MITSUBISHI LANCER EVO 9,GP GARAGE MY TEAM,13:16:7,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,MENDERES OKUR,N,MITSUBISHI LANCER EVO 9,GP GARAGE MY TEAM,13:21:7,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,HAKKI AĞAOĞLU,N,MITSUBISHI LANCER EVO9,GP GARAGE MY TEAM,13:24:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,CEVDET YILDIRIM,K2,PEUGEOT 208 R2,BC VISION MOTORSPORT,13:26:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Ogün Okat,2,HYUNDAI İ20 R5,NEO MOTORSPOR,13:26:9,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ORHAN GÜL,N,SUBARU IMPREZA,GMG RACING RALLY TEAM,13:29:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Kemal Çetinkaya,K4,SUBARU IMPREZA WRX,Kemal Çetinkaya,13:31:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,CEM YUDULMAZ,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,13:33:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Orçun Nural,K4,MITSUBISHI LANCER EVOLUTION 9,Orçun Nural,13:42:6,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,TANSEL KARASU,K2,KARASU,TANSEL,13:44:9,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ERHAN AKBAŞ,2,HYUNDAI İ20 R5,GP GARAGE MY TEAM,13:46:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,KEMAL ŞENER,N,MITSUBISHI LANCER EVO 9,GP GARAGE MY TEAM,13:51:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,NEBİL ERBİL,4,FORD FIESTA R2T,CASTROL FORD TEAM TÜRKİYE,13:54:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ÖZGÜR YÖRÜK,K4,SUBARU IMPREZA A WRX,GMG RACING RALLY TEAM,13:57:1,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ERDEM İLBAYLI,K2,FORD FIESTQ R2,CASTROL FORD TEAM TÜRKİYE,13:58:6,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,OKAN TANRIVERDİ,N,MITSUBISHI LANCER EVO 9,GP GARAGE MY TEAM,14:02:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,FATİH SELİM GÖÇER,K3,FIAT EGEA,FATİH SELİMGÖÇER,14:10:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,TUNCER SANCAKLI,5,RENAULT CLIO,BC VISION MOTORSPORT,14:12:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Refik BOZKURT,4,PEUGEOT 208 RALLY 4,SENA RACING,14:15:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Ahmet Keskin,4,OPEL CORSA,NEO MOTORSPOR,14:23:1,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Furkan PAŞALI,K3,PAŞALI,Furkan,14:23:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,KEMAL GAMGAM,H2,FORD ESCORT MK2,CASTROL FORD TEAM TÜRKİYE,14:31:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Ali Dinç,4,OPEL CORSA OPC,NEO MOTORSPOR,14:37:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Özgür Yaprak,K3,FIAT EGEA,GMG RACING RALLY TEAM,14:48:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Burcu Çetinkaya,4,FIAT EGEA,GMG RACING RALLY TEAM,14:50:6,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Berkay Erdoğan,K3,FORD FIESTA ST,GMG RACING RALLY TEAM,14:57:6,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,A. EVREN OLÇAY,K2,FORD FIESTA R2,CASTROL FORD TEAM TÜRKİYE,15:02:6,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,SERDAR KAAN YALÇIN,K3,FORD FİESTA ST,SERDAR KAAN YALÇIN,15:02:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Hakan Akman,K3,FIAT EGEA,Hakan Akman,15:25:1,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,OKAN ÖZTÜRK,K4,MITSUBISHI LANCER EVO 9,GP GARAGE MY TEAM,15:32:9,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,BURAK DALKILIÇ,K1,FİAT PALİO,BURAK DALKILIÇ,15:49:1,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,HAKAN YUVA,K2,FIAT PALIO S1600,SENA RACING,16:00:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,AHMET ZORLU,K3,FORD 2006,AHMET ZORLU,16:05:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,SENCAN KIRIKKAYA,K1,FORD FİESTA,SENCAN KIRIKKAYA,16:12:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,ÖMER GÜR,H1,TOFAŞ-FIAT 131,ÖMER GÜR,16:20:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,SERHAN TÜRKKAN,3,FORD FIESTA RALLY3,CASTROL FORD TEAM TÜRKİYE,16:38:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,AYKUT KEFİ,K2,FORD FIESTA R1 T19,CASTROL FORD TEAM TÜRKİYE,16:55:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Tan ÇAĞLAYAN,H1,PEUGEOT 205 GTI,TAN ÇAĞLAYAN,17:09:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,MERT CAN BÜYÜKSAN,H1,VOLKSWAGEN 1303 S,MERT CAN BÜYÜKSAN,17:18:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,TOLGA MUHTAR,K3,FORD FİESTA ST,TOLGA MUHTAR,17:29:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,BUĞRA CAN KILIÇ,4,RENAULT CLİO RALLY 4,GP GARAGE MY TEAM,17:37:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,MERT YUDULMAZ,4,FORD FIESTA R2T,CASTROL FORD TEAM TÜRKİYE,17:57:0,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,FARUK SAYIN,K1,SAYIN,FARUK,18:14:5,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Özhan Seyhan,4,FIAT EGEA,NEO MOTORSPOR,18:37:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Osman CEYLAN,K3,FIAT EGEA,GMG RACING RALLY TEAM,19:10:4,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Tufan Akkaş,K1,PEUGEOT 106 GTI S16,Tufan Akkaş,19:14:2,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,NAZAN ZORLU,4,FORD FIESTA R2T,CASTROL FORD TEAM TÜRKİYE,20:46:1,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,Sevgi Aktürk,4,FORD FIESTA ST,Sevgi Aktürk,22:00:3,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE1 Kanal-1 - 14.7km,1,14.7,MURAT ÇETİN,H1,ÇETİN,MURAT,33:41:8,OK
9,Etap 1 - Neticeler - Petrol Ofisi Maxima 2023 Türkiye Ralli Şampiyonası-1-Bodrum Rallisi,2023,asphalt,ÖE2 Alakise-1 - 12.65km,2,12.65,ÜMİT CAN ÖZDEMİR,2,SKODA FABIA R5,GP GARAGE MY TEAM,10:22:5,OK
